continent,country,month,year,type
Asia,Afghanistan,May,2018,Malware
Asia,Afghanistan,April,2008,Man-in-the-Middle
Asia,Afghanistan,August,2020,Malware
Asia,Afghanistan,December,2020,APT
Asia,Afghanistan,December,2012,DDoS
Asia,Afghanistan,January,2021,DDoS
Europe,Albania,April,2021,Malware
Europe,Albania,September,2020,Phishing
Oceania,Australia,January,2022,Man-in-the-Middle
Oceania,Australia,July,2018,APT
Oceania,Australia,May,2013,DoS
Oceania,Australia,November,2018,DoS
Oceania,Australia,October,2017,APT
Oceania,Australia,January,2019,Phishing
Oceania,Australia,October,2014,Man-in-the-Middle
Oceania,Australia,December,2018,Espionage
Oceania,Australia,December,2015,Malware
Oceania,Australia,June,2019,SQL Injection
Oceania,Australia,June,2020,APT
Oceania,Australia,June,2022,Espionage
Oceania,Australia,June,2022,Zero-Day Exploit
Oceania,Australia,March,2021,APT
Oceania,Australia,March,2010,Zero-Day Exploit
Oceania,Australia,May,2021,Malware
Oceania,Australia,May,2020,Phishing
Oceania,Australia,May,2021,Phishing
Oceania,Australia,October,2010,Espionage
Oceania,Australia,October,2020,Phishing
Oceania,Australia,September,2011,DDoS
Europe,Austria,January,2020,APT
Europe,Austria,January,2016,Phishing
Asia,Azerbaijan,April,2020,DDoS
Asia,Azerbaijan,March,2021,Espionage
Asia,Azerbaijan,November,2011,Phishing
Asia,Azerbaijan,October,2020,APT
Asia,Bahrain,December,2019,Malware
Asia,Bahrain,February,2021,APT
Asia,Bahrain,March,2021,Espionage
Asia,Bangladesh,November,2020,Malware
Asia,Bangladesh,September,2018,Malware
Europe,Belgium,February,2022,Malware
Europe,Belgium,May,2008,APT
Europe,Belgium,May,2021,Phishing
Europe,Belgium,April,2021,Malware
Europe,Belgium,May,2021,DDoS
Europe,Belgium,September,2020,Phishing
South America,Brazil,May,2021,Malware
South America,Brazil,May,2021,Phishing
South America,Brazil,October,2016,Phishing
Asia,Brunei,May,2020,Phishing
Europe,Bulgaria,January,2019,DDoS
Europe,Bulgaria,April,2021,Malware
Europe,Bulgaria,September,2020,Phishing
Asia,Cambodia,December,2019,Malware
Asia,Cambodia,July,2018,DoS
Asia,Cambodia,September,2017,Malware
North America,Canada,December,2018,Espionage
North America,Canada,February,2015,Malware
North America,Canada,January,2011,APT
North America,Canada,January,2022,Phishing
North America,Canada,January,2019,SQL Injection
North America,Canada,July,2014,Espionage
North America,Canada,July,2020,Phishing
North America,Canada,June,2015,DoS
North America,Canada,March,2009,Espionage
North America,Canada,March,2022,Espionage
North America,Canada,May,2010,Espionage
North America,Canada,May,2012,Malware
North America,Canada,May,2021,Malware
North America,Canada,May,2021,Phishing
North America,Canada,November,2014,Malware
North America,Canada,October,2020,Phishing
North America,Canada,September,2012,DDoS
North America,Canada,September,2014,Phishing
North America,Canada,April,2021,Malware
North America,Canada,September,2020,Phishing
Asia,China,April,2009,APT
Asia,China,April,2010,APT
Asia,China,April,2017,APT
Asia,China,April,2018,Malware
Asia,China,April,2020,Phishing
Asia,China,April,2020,Zero-Day Exploit
Asia,China,August,2013,DoS
Asia,China,August,2019,Malware
Asia,China,August,2019,Phishing
Asia,China,December,2019,APT
Asia,China,December,2020,APT
Asia,China,February,2012,APT
Asia,China,February,2021,Espionage
Asia,China,February,2022,Espionage
Asia,China,January,2021,DDoS
Asia,China,January,2010,Malware
Asia,China,January,2021,Malware
Asia,China,July,2020,APT
Asia,China,July,2017,Espionage
Asia,China,July,2015,Malware
Asia,China,July,2020,Phishing
Asia,China,June,2019,APT
Asia,China,June,2020,APT
Asia,China,June,2013,Espionage
Asia,China,June,2015,Espionage
Asia,China,June,2012,Phishing
Asia,China,June,2022,SQL Injection
Asia,China,March,2013,APT
Asia,China,March,2017,Phishing
Asia,China,March,2020,Phishing
Asia,China,May,2022,Espionage
Asia,China,May,2021,Phishing
Asia,China,May,2015,SQL injection
Asia,China,November,2017,APT
Asia,China,November,2018,Phishing
Asia,China,October,2011,APT
Asia,China,October,2014,Malware
Asia,China,October,2008,Man-in-the-Middle
Asia,China,October,2007,Phishing
Asia,China,September,2003,Malware
Asia,China,September,2014,Malware
Asia,China,October,2019,APT
Asia,China,April,2019,Malware
South America,Colombia,March,2021,Phishing
South America,Costa Rica,May,2021,Phishing
Europe,Croatia,April,2021,Malware
Europe,Croatia,September,2020,Phishing
Europe,Cyprus,February,2021,APT
Europe,Czech Republic,December,2018,DoS
Europe,Czech Republic,January,2016,Phishing
Europe,Czech Republic,May,2021,Phishing
Europe,Czech Republic,April,2021,Malware
Europe,Czech Republic,August,2019,APT
Europe,Czech Republic,September,2020,Phishing
Europe,Denmark,April,2021,Malware
Europe,Denmark,October,2020,Phishing
Europe,Denmark,September,2020,Phishing
Africa,Egypt,February,2021,APT
Africa,Egypt,January,2019,Phishing
Africa,Egypt,January,2021,Phishing
Africa,Egypt,October,2019,APT
Europe,Estonia,August,2017,APT
Europe,Estonia,May,2007,DDoS
Europe,Estonia,April,2021,Malware
Europe,Estonia,September,2020,Phishing
Africa,Ethiopia,May,2022,APT
Europe,Finland,December,2020,Phishing
Europe,Finland,July,2018,Zero-Day Exploit
Europe,Finland,March,2016,Malware
Europe,Finland,November,2013,Man-in-the-Middle
Europe,Finland,April,2019,DDoS
Europe,France,April,2015,DoS
Europe,France,August,2007,Phishing
Europe,France,December,2017,Malware
Europe,France,February,2009,Malware
Europe,France,July,2014,Espionage
Europe,France,May,2017,Man-in-the-Middle
Europe,France,September,2007,Malware
Europe,France,April,2021,APT
Europe,France,April,2021,Malware
Europe,France,February,2021,Espionage
Europe,France,October,2020,Malware
Europe,France,September,2020,APT
Europe,France,September,2020,Phishing
Europe,France,May,2021,Phishing
Europe,Georgia,April,2020,Phishing
Europe,Georgia,August,2008,Zero-Day Exploit
Europe,Georgia,October,2019,Espionage
Europe,Georgia,September,2020,APT
Europe,Germany,April,2021,Phishing
Europe,Germany,December,2019,APT
Europe,Germany,February,2021,Malware
Europe,Germany,January,2022,SQL Injection
Europe,Germany,July,2011,DDoS
Europe,Germany,July,2019,Espionage
Europe,Germany,June,2022,SQL Injection
Europe,Germany,March,2009,Malware
Europe,Germany,March,2021,Phishing
Europe,Germany,March,2011,Zero-Day Exploit
Europe,Germany,May,2020,DDoS
Europe,Germany,May,2020,Phishing
Europe,Germany,May,2021,Phishing
Europe,Germany,September,2011,Malware
Europe,Germany,September,2020,Malware
Europe,Germany,April,2021,Malware
Europe,Germany,September,2020,Phishing
Europe,Germany,October,2020,Phishing
Europe ,Germany,January,2022,Zero-Day Exploit
Europe,Greece,April,2021,Malware
Europe,Greece,September,2020,Phishing
Europe,Greenland,March,2022,Espionage
Europe ,Greenland,May,2022,Zero-Day Exploit
Europe,Hungary,April,2021,Malware
Europe,Hungary,September,2020,Phishing
Europe,Iceland,April,2021,Malware
Europe,Iceland,September,2020,Phishing
Asia,India,April,2010,DDoS
Asia,India,August,2017,Malware
Asia,India,August,2020,Malware
