Year,Crime Type, Count , Loss ,Source
2022,Advanced Fee,11264,104325444,Yearly Summary Report
2022,BEC,21832,2742354049,Yearly Summary Report
2022,Botnet,568,17099378,Yearly Summary Report
2022,Confidence/Romance,19021,735882192,Yearly Summary Report
2022,Credit Card/Check Fraud,22985,264148905,Yearly Summary Report
2022,Crimes Against Children,2587,577464,Yearly Summary Report
2022,Data Breach,2795,459321859,Yearly Summary Report
2022,Personal Data Breach,58859,742438136,Yearly Summary Report
2022,Employment,14946,52204269,Yearly Summary Report
2022,Extortion,39416,54335128,Yearly Summary Report
2022,Government Impersonation,11554,240553091,Yearly Summary Report
2022,Harassment/Stalking,11779,5621402,Yearly Summary Report
2022,Identity Theft,27922,189205793,Yearly Summary Report
2022,Investment,30529,3311742206,Yearly Summary Report
2022,IPR/Copyright/Counterfeit,2183,4591177,Yearly Summary Report
2022,Lottery/Sweepstakes/Inheritance,5650,83602376,Yearly Summary Report
2022,Malware,762,9326482,Yearly Summary Report
2022,Non-Payment/Non-Delivery,51679,281770073,Yearly Summary Report
2022,Other,9966,117686789,Yearly Summary Report
2022,Overpayment,6183,38335772,Yearly Summary Report
2022,Phishing,300497,52089159,Yearly Summary Report
2022,Ransomware,2385,34353237,Yearly Summary Report
2022,Real Estate,11727,396932821,Yearly Summary Report
2022,SIM Swap,2026,72652571,Yearly Summary Report
2022,Spoofing,20649,107926252,Yearly Summary Report
2022,Tech Support,32538,806551993,Yearly Summary Report
2022,Threats of Violence,2224,4972099,Yearly Summary Report
2021,Advanced Fee,11034,98694137,Yearly Summary Report
2021,BEC/EAC,19954,2395953296,Yearly Summary Report
2021,Civil Matter,1118,85049939,Yearly Summary Report
2021,Computer Intrusion,979,19603037,Yearly Summary Report
2021,Confidence Fraud/Romance,24299,956039740,Yearly Summary Report
2021,Credit Card Fraud,16750,172998385,Yearly Summary Report
2021,Crimes Against Children,2167,198950,Yearly Summary Report
2021,Corporate Data Breach,1287,151568225,Yearly Summary Report
2021,Personal Data Breach,51829,517021289,Yearly Summary Report
2021,Denial of Service/TDoS,1104,217981,Yearly Summary Report
2021,Employment,15253,47231023,Yearly Summary Report
2021,Extortion,39360,60577741,Yearly Summary Report
2021,Gambling,395,1940237,Yearly Summary Report
2021,Government Impersonation,11335,142643253,Yearly Summary Report
2021,Health Care Related,578,7042942,Yearly Summary Report
2021,Identity Theft,51629,278267918,Yearly Summary Report
2021,Investment,20561,1455943193,Yearly Summary Report
2021,IPR/Copyright and Counterfeit,4270,16365011,Yearly Summary Report
2021,Lottery/Sweepstakes/Inheritance,5991,71289089,Yearly Summary Report
2021,Malware/Scareware/Virus,810,5596889,Yearly Summary Report
2021,Non-Payment/Non-Delivery,82478,337493071,Yearly Summary Report
2021,Other,12346,75837524,Yearly Summary Report
2021,Overpayment,6108,33407671,Yearly Summary Report
2021,Phishing/Vishing/Smishing/Pharming,323972,44213707,Yearly Summary Report
2021,Ransomware,3729,49207908,Yearly Summary Report
2021,Real Estate/Rental,11578,350328166,Yearly Summary Report
2021,Re-shipping,516,631466,Yearly Summary Report
2021,Spoofing,18522,82169806,Yearly Summary Report
2021,Tech Support,23903,347657432,Yearly Summary Report
2021,Terrorism/Threats of Violence,12346,4390720,Yearly Summary Report
2020,Advanced Fee,13020,83215405,Yearly Summary Report
2020,BEC/EAC,19369,1866642107,Yearly Summary Report
2020,Charity,659,4428766,Yearly Summary Report
2020,Civil Matter,968,24915958,Yearly Summary Report
2020,Confidence Fraud/Romance,23751,600249821,Yearly Summary Report
