SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2021,POPESTIMATE2022
40,3,6,1,Alabama,5049846,5074296
40,4,9,2,Alaska,734182,733583
40,4,8,4,Arizona,7264877,7359197
40,3,7,5,Arkansas,3028122,3045637
40,4,9,6,California,39142991,39029342
40,4,8,8,Colorado,5811297,5839926
40,1,1,9,Connecticut,3623355,3626205
40,3,5,10,Delaware,1004807,1018396
40,3,5,12,Florida,21828069,22244823
40,3,5,13,Georgia,10788029,10912876
40,4,9,15,Hawaii,1447154,1440196
40,4,8,16,Idaho,1904314,1939033
40,2,3,17,Illinois,12686469,12582032
40,2,3,18,Indiana,6813532,6833037
40,2,4,19,Iowa,3197689,3200517
40,2,4,20,Kansas,2937922,2937150
40,3,6,21,Kentucky,4506589,4512310
40,3,7,22,Louisiana,4627098,4590241
40,1,1,23,Maine,1377238,1385340
40,3,5,24,Maryland,6174610,6164660
40,1,1,25,Massachusetts,6989690,6981974
40,2,3,26,Michigan,10037504,10034113
40,2,4,27,Minnesota,5711471,5717184
40,3,6,28,Mississippi,2949586,2940057
40,2,4,29,Missouri,6169823,6177957
40,4,8,30,Montana,1106227,1122867
40,2,4,31,Nebraska,1963554,1967923
40,4,8,32,Nevada,3146402,3177772
40,1,1,33,New Hampshire,1387505,1395231
40,1,2,34,New Jersey,9267961,9261699
40,4,8,35,New Mexico,2116677,2113344
40,1,2,36,New York,19857492,19677151
40,3,5,37,North Carolina,10565885,10698973
40,2,4,38,North Dakota,777934,779261
40,2,3,39,Ohio,11764342,11756058
40,3,7,40,Oklahoma,3991225,4019800
40,4,9,41,Oregon,4256301,4240137
40,1,2,42,Pennsylvania,13012059,12972008
40,1,1,44,Rhode Island,1096985,1093734
40,3,5,45,South Carolina,5193266,5282634
40,2,4,46,South Dakota,896164,909824
40,3,6,47,Tennessee,6968351,7051339
40,3,7,48,Texas,29558864,30029572
40,4,8,49,Utah,3339113,3380800
40,1,1,50,Vermont,646972,647064
40,3,5,51,Virginia,8657365,8683619
40,4,9,53,Washington,7740745,7785786
40,3,5,54,West Virginia,1785526,1775156
40,2,3,55,Wisconsin,5880101,5892539
40,4,8,56,Wyoming,579483,581381
