,Crime Type,Loss Amount
0,Advanced Fee,"$672,133"
1,Malware,"$4,000"
2,BEC,"$4,181,143"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,654,264"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$418,043"
9,Non-payment/Non-Delivery,"$4,077,063"
10,Crimes Against Children,$0
11,Other,"$1,034,111"
12,Data Breach,"$126,683"
13,Overpayment,"$239,179"
14,Employment,"$292,969"
15,Personal Data Breach,"$12,273,838"
16,Extortion,"$49,451"
17,Phishing,"$13,439"
18,Government Impersonation,"$54,298"
19,Ransomware,$0
20,Harassment/Stalking,"$16,600"
21,Real Estate,"$856,936"
22,IPR/Copyright and Counterfeit,$182
23,SIM Swap,"$154,950"
24,Identity Theft,"$338,085"
25,Spoofing,"$298,412"
26,Investment,"$2,268,893"
27,Tech Support,"$1,093,214"
28,Lottery/Sweepstakes/Inheritance,"$1,468,005"
29,Threats of Violence,$0
