,Crime Type,Subject Count
0,Advanced Fee,5
1,Malware,0
2,BEC,7
3,NCDF,0
4,Botnet,0
5,NTOC,0
6,Confidence/Romance,17
7,No Lead Value,163
8,Credit Card/Check Fraud,14
9,Non-payment/Non-Delivery,48
10,Crimes Against Children,1
11,Other,1
12,Data Breach,1
13,Overpayment,3
14,Employment,3
15,Personal Data Breach,38
16,Extortion,15
17,Phishing,14
18,Government Impersonation,3
19,Ransomware,0
20,Harassment/Stalking,25
21,Real Estate,10
22,IPR/Copyright and Counterfeit,0
23,SIM Swap,0
24,Identity Theft,10
25,Spoofing,21
26,Investment,8
27,Tech Support,107
28,Lottery/Sweepstakes/Inheritance,4
29,Threats of Violence,2
