,Crime Type,Loss Amount
0,Advanced Fee,"$51,867"
1,Malware,$0
2,BEC,"$2,987,862"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,516,086"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$708,828"
9,Non-payment/Non-Delivery,"$841,551"
10,Crimes Against Children,"$12,743"
11,Other,$2
12,Data Breach,"$594,836"
13,Overpayment,"$425,140"
14,Employment,"$66,414"
15,Personal Data Breach,"$410,761"
16,Extortion,"$99,681"
17,Phishing,"$64,942"
18,Government Impersonation,"$60,009"
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,"$456,419"
22,IPR/Copyright and Counterfeit,"$3,601"
23,SIM Swap,"$159,860"
24,Identity Theft,"$106,162"
25,Spoofing,"$246,919"
26,Investment,"$3,900,872"
27,Tech Support,"$4,493,757"
28,Lottery/Sweepstakes/Inheritance,"$298,905"
29,Threats of Violence,$0
