,Crime Type,Loss Amount
0,Advanced Fee,$0
1,Malware,$0
2,BEC,$960
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$12,500"
7,No Lead Value,$0
8,Credit Card/Check Fraud,$0
9,Non-payment/Non-Delivery,"$3,020"
10,Crimes Against Children,$0
11,Other,$0
12,Data Breach,$0
13,Overpayment,$0
14,Employment,$0
15,Personal Data Breach,$0
16,Extortion,$600
17,Phishing,$0
18,Government Impersonation,$0
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,$0
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,$0
24,Identity Theft,$600
25,Spoofing,$0
26,Investment,"$98,000"
27,Tech Support,"$12,636"
28,Lottery/Sweepstakes/Inheritance,$0
29,Threats of Violence,$0
