,Crime Type,Loss Amount
0,Advanced Fee,"$3,497,409"
1,Malware,"$40,386"
2,BEC,"$48,491,959"
3,NCDF,$0
4,Botnet,"$3,500"
5,NTOC,$0
6,Confidence/Romance,"$25,414,350"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$7,612,464"
9,Non-payment/Non-Delivery,"$7,241,215"
10,Crimes Against Children,"$3,312"
11,Other,"$2,269,630"
12,Data Breach,"$5,275,910"
13,Overpayment,"$874,131"
14,Employment,"$862,808"
15,Personal Data Breach,"$13,211,625"
16,Extortion,"$1,655,565"
17,Phishing,"$692,542"
18,Government Impersonation,"$2,838,064"
19,Ransomware,"$725,497"
20,Harassment/Stalking,"$27,407"
21,Real Estate,"$6,547,901"
22,IPR/Copyright and Counterfeit,"$12,978"
23,SIM Swap,"$799,233"
24,Identity Theft,"$5,244,812"
25,Spoofing,"$974,893"
26,Investment,"$88,886,631"
27,Tech Support,"$25,049,567"
28,Lottery/Sweepstakes/Inheritance,"$3,754,716"
29,Threats of Violence,"$2,633"
