,Crime Type,Loss Amount
0,Advanced Fee,"$206,478"
1,Malware,$0
2,BEC,"$1,956,412"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,640,725"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$148,068"
9,Non-payment/Non-Delivery,"$840,965"
10,Crimes Against Children,$0
11,Other,"$11,560"
12,Data Breach,"$500,000"
13,Overpayment,"$82,140"
14,Employment,"$32,492"
15,Personal Data Breach,"$308,055"
16,Extortion,"$61,101"
17,Phishing,$800
18,Government Impersonation,"$13,446"
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,"$203,327"
22,IPR/Copyright and Counterfeit,$287
23,SIM Swap,$0
24,Identity Theft,"$626,948"
25,Spoofing,"$19,676"
26,Investment,"$1,876,215"
27,Tech Support,"$457,583"
28,Lottery/Sweepstakes/Inheritance,"$572,500"
29,Threats of Violence,$0
