,Crime Type,Loss Amount
0,Advanced Fee,"$6,790,738"
1,Malware,"$178,696"
2,BEC,"$96,631,599"
3,NCDF,$0
4,Botnet,"$103,540"
5,NTOC,$0
6,Confidence/Romance,"$79,233,267"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$19,681,014"
9,Non-payment/Non-Delivery,"$23,858,715"
10,Crimes Against Children,"$41,012"
11,Other,"$9,906,416"
12,Data Breach,"$16,578,414"
13,Overpayment,"$1,726,660"
14,Employment,"$4,734,064"
15,Personal Data Breach,"$35,649,051"
16,Extortion,"$1,746,260"
17,Phishing,"$1,354,479"
18,Government Impersonation,"$5,168,082"
19,Ransomware,"$700,000"
20,Harassment/Stalking,"$219,659"
21,Real Estate,"$17,908,856"
22,IPR/Copyright and Counterfeit,"$108,269"
23,SIM Swap,"$2,884,955"
24,Identity Theft,"$13,936,804"
25,Spoofing,"$4,705,608"
26,Investment,"$396,181,523"
27,Tech Support,"$74,236,808"
28,Lottery/Sweepstakes/Inheritance,"$6,236,377"
29,Threats of Violence,"$120,904"
