,Crime Type,Loss Amount
0,Advanced Fee,"$1,434,614"
1,Malware,"$368,591"
2,BEC,"$53,961,108"
3,NCDF,$0
4,Botnet,$118
5,NTOC,$0
6,Confidence/Romance,"$14,107,358"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$3,891,969"
9,Non-payment/Non-Delivery,"$4,594,893"
10,Crimes Against Children,"$1,910"
11,Other,"$1,804,460"
12,Data Breach,"$5,589,504"
13,Overpayment,"$628,022"
14,Employment,"$751,991"
15,Personal Data Breach,"$7,231,942"
16,Extortion,"$566,937"
17,Phishing,"$457,985"
18,Government Impersonation,"$3,497,450"
19,Ransomware,"$14,280"
20,Harassment/Stalking,"$8,045"
21,Real Estate,"$8,977,358"
22,IPR/Copyright and Counterfeit,"$1,670"
23,SIM Swap,"$1,106,456"
24,Identity Theft,"$3,587,131"
25,Spoofing,"$2,034,037"
26,Investment,"$58,468,306"
27,Tech Support,"$15,937,753"
28,Lottery/Sweepstakes/Inheritance,"$2,306,796"
29,Threats of Violence,$770
