,Crime Type,Subject Count
0,Advanced Fee,27
1,Malware,3
2,BEC,40
3,NCDF,0
4,Botnet,0
5,NTOC,0
6,Confidence/Romance,61
7,No Lead Value,"11,431"
8,Credit Card/Check Fraud,74
9,Non-payment/Non-Delivery,188
10,Crimes Against Children,4
11,Other,29
12,Data Breach,6
13,Overpayment,12
14,Employment,46
15,Personal Data Breach,154
16,Extortion,56
17,Phishing,25
18,Government Impersonation,22
19,Ransomware,2
20,Harassment/Stalking,125
21,Real Estate,25
22,IPR/Copyright and Counterfeit,4
23,SIM Swap,2
24,Identity Theft,75
25,Spoofing,62
26,Investment,35
27,Tech Support,56
28,Lottery/Sweepstakes/Inheritance,12
29,Threats of Violence,4
