,Crime Type,Loss Amount
0,Advanced Fee,"$173,559"
1,Malware,"$3,289"
2,BEC,"$2,209,376"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,333,457"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$2,215,783"
9,Non-payment/Non-Delivery,"$763,909"
10,Crimes Against Children,$0
11,Other,"$663,017"
12,Data Breach,"$212,489"
13,Overpayment,"$25,051"
14,Employment,"$147,796"
15,Personal Data Breach,"$981,123"
16,Extortion,"$55,861"
17,Phishing,"$705,767"
18,Government Impersonation,"$89,172"
19,Ransomware,$0
20,Harassment/Stalking,$1
21,Real Estate,"$354,575"
22,IPR/Copyright and Counterfeit,"$4,775"
23,SIM Swap,$0
24,Identity Theft,"$967,028"
25,Spoofing,"$260,056"
26,Investment,"$3,569,500"
27,Tech Support,"$1,291,845"
28,Lottery/Sweepstakes/Inheritance,"$606,600"
29,Threats of Violence,$0
