,Crime Type,Loss Amount
0,Advanced Fee,"$656,864"
1,Malware,$0
2,BEC,"$3,746,611"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$424,813"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$1,481,235"
9,Non-payment/Non-Delivery,"$1,884,539"
10,Crimes Against Children,$0
11,Other,"$22,656"
12,Data Breach,$0
13,Overpayment,"$5,698"
14,Employment,"$59,946"
15,Personal Data Breach,"$376,160"
16,Extortion,"$21,224"
17,Phishing,$409
18,Government Impersonation,"$194,613"
19,Ransomware,$0
20,Harassment/Stalking,"$45,000"
21,Real Estate,"$51,044"
22,IPR/Copyright and Counterfeit,$443
23,SIM Swap,"$102,000"
24,Identity Theft,"$79,305"
25,Spoofing,"$55,570"
26,Investment,"$4,152,653"
27,Tech Support,"$1,022,683"
28,Lottery/Sweepstakes/Inheritance,"$750,230"
29,Threats of Violence,$0
