,Crime Type,Loss Amount
0,Advanced Fee,"$142,836"
1,Malware,"$5,000,000"
2,BEC,"$8,419,097"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$2,072,905"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$627,658"
9,Non-payment/Non-Delivery,"$1,027,202"
10,Crimes Against Children,$0
11,Other,"$25,836"
12,Data Breach,"$4,271,294"
13,Overpayment,"$209,940"
14,Employment,"$98,771"
15,Personal Data Breach,"$692,788"
16,Extortion,"$207,467"
17,Phishing,"$1,394"
18,Government Impersonation,"$5,999,143"
19,Ransomware,"$500,000"
20,Harassment/Stalking,"$9,715"
21,Real Estate,"$502,266"
22,IPR/Copyright and Counterfeit,"$170,739"
23,SIM Swap,"$87,547"
24,Identity Theft,"$408,892"
25,Spoofing,"$238,372"
26,Investment,"$8,128,816"
27,Tech Support,"$2,374,595"
28,Lottery/Sweepstakes/Inheritance,"$1,278,433"
29,Threats of Violence,$200
