,Crime Type,Subject Count
0,Advanced Fee,44
1,Malware,0
2,BEC,32
3,NCDF,0
4,Botnet,0
5,NTOC,0
6,Confidence/Romance,25
7,No Lead Value,"2,515"
8,Credit Card/Check Fraud,25
9,Non-payment/Non-Delivery,47
10,Crimes Against Children,1
11,Other,18
12,Data Breach,1
13,Overpayment,4
14,Employment,23
15,Personal Data Breach,72
16,Extortion,32
17,Phishing,39
18,Government Impersonation,173
19,Ransomware,0
20,Harassment/Stalking,44
21,Real Estate,32
22,IPR/Copyright and Counterfeit,2
23,SIM Swap,1
24,Identity Theft,31
25,Spoofing,16
26,Investment,42
27,Tech Support,59
28,Lottery/Sweepstakes/Inheritance,75
29,Threats of Violence,3
