,Crime Type,Loss Amount
0,Advanced Fee,"$276,964"
1,Malware,$0
2,BEC,"$3,458,371"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,267,584"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$937,998"
9,Non-payment/Non-Delivery,"$894,433"
10,Crimes Against Children,$0
11,Other,$0
12,Data Breach,$0
13,Overpayment,"$53,830"
14,Employment,"$26,678"
15,Personal Data Breach,"$25,992"
16,Extortion,"$535,338"
17,Phishing,"$18,400"
18,Government Impersonation,"$7,885,020"
19,Ransomware,$0
20,Harassment/Stalking,"$3,000"
21,Real Estate,"$235,117"
22,IPR/Copyright and Counterfeit,"$3,991"
23,SIM Swap,$0
24,Identity Theft,"$2,205"
25,Spoofing,$717
26,Investment,"$3,701,094"
27,Tech Support,"$2,963,445"
28,Lottery/Sweepstakes/Inheritance,"$1,421,408"
29,Threats of Violence,$0
