,Crime Type,Loss Amount
0,Advanced Fee,"$19,048"
1,Malware,$0
2,BEC,"$15,279,911"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$4,667,569"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$1,722,407"
9,Non-payment/Non-Delivery,"$402,695"
10,Crimes Against Children,$600
11,Other,"$81,180"
12,Data Breach,"$727,452"
13,Overpayment,"$30,755"
14,Employment,"$231,279"
15,Personal Data Breach,"$790,516"
16,Extortion,"$365,490"
17,Phishing,"$170,958"
18,Government Impersonation,"$1,148,642"
19,Ransomware,"$31,110"
20,Harassment/Stalking,"$31,000"
21,Real Estate,"$1,002,757"
22,IPR/Copyright and Counterfeit,"$1,233"
23,SIM Swap,"$16,513"
24,Identity Theft,"$850,290"
25,Spoofing,"$240,331"
26,Investment,"$6,902,545"
27,Tech Support,"$743,603"
28,Lottery/Sweepstakes/Inheritance,"$7,150"
29,Threats of Violence,"$96,110"
