,Crime Type,Loss Amount
0,Advanced Fee,"$10,260,350"
1,Malware,"$78,345"
2,BEC,"$180,889,707"
3,NCDF,"$5,250"
4,Botnet,"$115,211"
5,NTOC,$0
6,Confidence/Romance,"$53,412,471"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$19,905,811"
9,Non-payment/Non-Delivery,"$23,227,294"
10,Crimes Against Children,"$8,943"
11,Other,"$12,544,439"
12,Data Breach,"$14,687,979"
13,Overpayment,"$2,345,254"
14,Employment,"$3,381,151"
15,Personal Data Breach,"$82,562,792"
16,Extortion,"$2,830,572"
17,Phishing,"$3,710,314"
18,Government Impersonation,"$11,865,862"
19,Ransomware,"$509,124"
20,Harassment/Stalking,"$1,625,621"
21,Real Estate,"$54,555,025"
22,IPR/Copyright and Counterfeit,"$525,870"
23,SIM Swap,"$8,921,713"
24,Identity Theft,"$22,703,547"
25,Spoofing,"$13,045,299"
26,Investment,"$306,494,132"
27,Tech Support,"$75,371,385"
28,Lottery/Sweepstakes/Inheritance,"$4,770,274"
29,Threats of Violence,"$541,666"
