,Crime Type,Loss Amount
0,Advanced Fee,"$51,316"
1,Malware,$0
2,BEC,"$1,125,331"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$333,576"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$1,076,990"
9,Non-payment/Non-Delivery,"$294,117"
10,Crimes Against Children,$0
11,Other,"$47,681"
12,Data Breach,$0
13,Overpayment,"$5,000"
14,Employment,"$14,196"
15,Personal Data Breach,"$245,245"
16,Extortion,"$18,266"
17,Phishing,"$120,000"
18,Government Impersonation,"$285,477"
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,"$687,652"
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,$0
24,Identity Theft,"$436,001"
25,Spoofing,"$183,103"
26,Investment,"$2,988,069"
27,Tech Support,"$645,708"
28,Lottery/Sweepstakes/Inheritance,"$19,500"
29,Threats of Violence,$0
