,Crime Type,Loss Amount
0,Advanced Fee,"$334,390"
1,Malware,"$549,407"
2,BEC,"$4,443,071"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,878,990"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$3,050,032"
9,Non-payment/Non-Delivery,"$764,631"
10,Crimes Against Children,"$1,300"
11,Other,"$423,451"
12,Data Breach,"$13,474"
13,Overpayment,"$39,110"
14,Employment,"$173,780"
15,Personal Data Breach,"$2,093,432"
16,Extortion,"$1,285,364"
17,Phishing,"$326,882"
18,Government Impersonation,"$947,381"
19,Ransomware,"$22,000"
20,Harassment/Stalking,"$7,632"
21,Real Estate,"$2,980,645"
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,"$89,970"
24,Identity Theft,"$2,716,468"
25,Spoofing,"$606,524"
26,Investment,"$18,885,255"
27,Tech Support,"$1,825,165"
28,Lottery/Sweepstakes/Inheritance,"$486,233"
29,Threats of Violence,$0
