,Crime Type,Loss Amount
0,Advanced Fee,"$53,022"
1,Malware,$0
2,BEC,"$899,376"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$424,906"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$129,104"
9,Non-payment/Non-Delivery,"$2,156,852"
10,Crimes Against Children,$0
11,Other,"$233,033"
12,Data Breach,$0
13,Overpayment,"$10,650"
14,Employment,"$144,020"
15,Personal Data Breach,"$65,327"
16,Extortion,"$2,276"
17,Phishing,"$15,376"
18,Government Impersonation,"$341,582"
19,Ransomware,$0
20,Harassment/Stalking,"$161,026"
21,Real Estate,"$616,833"
22,IPR/Copyright and Counterfeit,"$16,506"
23,SIM Swap,"$16,500"
24,Identity Theft,"$28,474"
25,Spoofing,"$5,246"
26,Investment,"$1,842,715"
27,Tech Support,"$893,193"
28,Lottery/Sweepstakes/Inheritance,"$136,848"
29,Threats of Violence,$480
