,Crime Type,Victim Count
0,Advanced Fee,63
1,Malware,8
2,BEC,95
3,NCDF,0
4,Botnet,1
5,NTOC,0
6,Confidence/Romance,98
7,No Lead Value,107
8,Credit Card/Check Fraud,134
9,Non-payment/Non-Delivery,250
10,Crimes Against Children,14
11,Other,55
12,Data Breach,9
13,Overpayment,39
14,Employment,63
15,Personal Data Breach,238
16,Extortion,216
17,Phishing,52
18,Government Impersonation,68
19,Ransomware,9
20,Harassment/Stalking,43
21,Real Estate,53
22,IPR/Copyright and Counterfeit,8
23,SIM Swap,11
24,Identity Theft,136
25,Spoofing,95
26,Investment,102
27,Tech Support,189
28,Lottery/Sweepstakes/Inheritance,25
29,Threats of Violence,5
