,Crime Type,Loss Amount
0,Advanced Fee,"$148,396"
1,Malware,"$95,300"
2,BEC,"$12,531,126"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$4,326,961"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$1,159,432"
9,Non-payment/Non-Delivery,"$1,990,039"
10,Crimes Against Children,$390
11,Other,"$168,554"
12,Data Breach,"$66,250"
13,Overpayment,"$470,038"
14,Employment,"$347,086"
15,Personal Data Breach,"$1,405,761"
16,Extortion,"$91,596"
17,Phishing,"$18,683"
18,Government Impersonation,"$692,091"
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,"$1,101,440"
22,IPR/Copyright and Counterfeit,"$31,207"
23,SIM Swap,"$82,957"
24,Identity Theft,"$1,118,048"
25,Spoofing,"$128,066"
26,Investment,"$12,148,965"
27,Tech Support,"$3,629,812"
28,Lottery/Sweepstakes/Inheritance,"$568,809"
29,Threats of Violence,$0
