,Crime Type,Loss Amount
0,Advanced Fee,"$1,720,827"
1,Malware,$0
2,BEC,"$13,390,943"
3,NCDF,$35
4,Botnet,$50
5,NTOC,$0
6,Confidence/Romance,"$9,879,034"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$3,132,040"
9,Non-payment/Non-Delivery,"$4,313,921"
10,Crimes Against Children,$380
11,Other,"$1,108,652"
12,Data Breach,"$1,226,980"
13,Overpayment,"$1,038,723"
14,Employment,"$297,715"
15,Personal Data Breach,"$934,210"
16,Extortion,"$113,351"
17,Phishing,"$91,294"
18,Government Impersonation,"$622,038"
19,Ransomware,$0
20,Harassment/Stalking,$596
21,Real Estate,"$6,915,960"
22,IPR/Copyright and Counterfeit,"$8,634"
23,SIM Swap,"$214,934"
24,Identity Theft,"$2,021,044"
25,Spoofing,"$1,027,348"
26,Investment,"$20,401,981"
27,Tech Support,"$4,007,626"
28,Lottery/Sweepstakes/Inheritance,"$805,625"
29,Threats of Violence,$0
