,Crime Type,Loss Amount
0,Advanced Fee,"$2,164,143"
1,Malware,"$98,733"
2,BEC,"$83,883,493"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$17,779,377"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$8,254,863"
9,Non-payment/Non-Delivery,"$9,064,346"
10,Crimes Against Children,"$3,010"
11,Other,"$2,606,866"
12,Data Breach,"$4,296,049"
13,Overpayment,"$1,317,967"
14,Employment,"$699,482"
15,Personal Data Breach,"$12,264,935"
16,Extortion,"$1,441,723"
17,Phishing,"$932,426"
18,Government Impersonation,"$8,407,843"
19,Ransomware,"$4,309,000"
20,Harassment/Stalking,"$4,845"
21,Real Estate,"$6,854,058"
22,IPR/Copyright and Counterfeit,"$83,561"
23,SIM Swap,"$1,477,789"
24,Identity Theft,"$4,844,837"
25,Spoofing,"$1,409,853"
26,Investment,"$75,614,466"
27,Tech Support,"$31,413,362"
28,Lottery/Sweepstakes/Inheritance,"$1,856,557"
29,Threats of Violence,"$202,010"
