,Crime Type,Loss Amount
0,Advanced Fee,"$367,103"
1,Malware,$44
2,BEC,"$1,029,745"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,299,412"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$528,513"
9,Non-payment/Non-Delivery,"$882,424"
10,Crimes Against Children,$0
11,Other,"$276,600"
12,Data Breach,$0
13,Overpayment,"$292,115"
14,Employment,"$40,904"
15,Personal Data Breach,"$93,543"
16,Extortion,"$16,940"
17,Phishing,"$16,500"
18,Government Impersonation,"$80,442"
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,"$382,674"
22,IPR/Copyright and Counterfeit,$77
23,SIM Swap,"$30,000"
24,Identity Theft,"$25,108"
25,Spoofing,"$27,527"
26,Investment,"$3,959,536"
27,Tech Support,"$369,005"
28,Lottery/Sweepstakes/Inheritance,"$57,731"
29,Threats of Violence,$0
