,Crime Type,Loss Amount
0,Advanced Fee,"$2,653,128"
1,Malware,$0
2,BEC,"$16,716,697"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$4,389,801"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$1,599,889"
9,Non-payment/Non-Delivery,"$1,275,435"
10,Crimes Against Children,$50
11,Other,"$369,975"
12,Data Breach,"$200,036"
13,Overpayment,"$253,238"
14,Employment,"$611,379"
15,Personal Data Breach,"$868,145"
16,Extortion,"$359,335"
17,Phishing,"$36,705"
18,Government Impersonation,"$749,705"
19,Ransomware,"$2,007,000"
20,Harassment/Stalking,"$3,000"
21,Real Estate,"$1,641,269"
22,IPR/Copyright and Counterfeit,$606
23,SIM Swap,"$240,697"
24,Identity Theft,"$329,798"
25,Spoofing,"$88,279"
26,Investment,"$6,038,243"
27,Tech Support,"$5,016,905"
28,Lottery/Sweepstakes/Inheritance,"$136,692"
29,Threats of Violence,$0
