,Crime Type,Subject Count
0,Advanced Fee,25
1,Malware,0
2,BEC,22
3,NCDF,0
4,Botnet,0
5,NTOC,0
6,Confidence/Romance,46
7,No Lead Value,45
8,Credit Card/Check Fraud,46
9,Non-payment/Non-Delivery,181
10,Crimes Against Children,3
11,Other,14
12,Data Breach,4
13,Overpayment,13
14,Employment,26
15,Personal Data Breach,121
16,Extortion,48
17,Phishing,22
18,Government Impersonation,8
19,Ransomware,1
20,Harassment/Stalking,35
21,Real Estate,26
22,IPR/Copyright and Counterfeit,1
23,SIM Swap,0
24,Identity Theft,45
25,Spoofing,37
26,Investment,26
27,Tech Support,34
28,Lottery/Sweepstakes/Inheritance,7
29,Threats of Violence,5
