,Crime Type,Loss Amount
0,Advanced Fee,"$408,418"
1,Malware,$0
2,BEC,"$3,122,624"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,701,815"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$166,458"
9,Non-payment/Non-Delivery,"$761,748"
10,Crimes Against Children,$0
11,Other,"$7,926"
12,Data Breach,"$89,380"
13,Overpayment,"$68,169"
14,Employment,"$100,117"
15,Personal Data Breach,"$48,741"
16,Extortion,"$29,840"
17,Phishing,$650
18,Government Impersonation,"$40,852"
19,Ransomware,$0
20,Harassment/Stalking,"$1,800"
21,Real Estate,"$537,416"
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,$0
24,Identity Theft,"$61,307"
25,Spoofing,"$27,266"
26,Investment,"$3,307,580"
27,Tech Support,"$635,707"
28,Lottery/Sweepstakes/Inheritance,"$95,882"
29,Threats of Violence,$0
