,Crime Type,Loss Amount
0,Advanced Fee,"$201,457"
1,Malware,$119
2,BEC,"$3,203,695"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$2,234,316"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$771,830"
9,Non-payment/Non-Delivery,"$2,175,249"
10,Crimes Against Children,$0
11,Other,"$5,007,273"
12,Data Breach,"$134,555"
13,Overpayment,"$93,585"
14,Employment,"$50,929"
15,Personal Data Breach,"$141,168"
16,Extortion,"$12,011"
17,Phishing,"$80,412"
18,Government Impersonation,"$221,694"
19,Ransomware,$0
20,Harassment/Stalking,"$9,250"
21,Real Estate,"$854,522"
22,IPR/Copyright and Counterfeit,"$220,235"
23,SIM Swap,$0
24,Identity Theft,"$484,716"
25,Spoofing,"$211,103"
26,Investment,"$7,658,982"
27,Tech Support,"$407,465"
28,Lottery/Sweepstakes/Inheritance,"$235,236"
29,Threats of Violence,$0
