,Crime Type,Loss Amount
0,Advanced Fee,"$1,109,957"
1,Malware,$75
2,BEC,"$13,641,891"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$5,291,726"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$2,208,520"
9,Non-payment/Non-Delivery,"$1,088,256"
10,Crimes Against Children,"$1,300"
11,Other,"$2,853,934"
12,Data Breach,"$177,126"
13,Overpayment,"$380,265"
14,Employment,"$177,344"
15,Personal Data Breach,"$4,342,037"
16,Extortion,"$170,276"
17,Phishing,"$879,726"
18,Government Impersonation,"$561,221"
19,Ransomware,$0
20,Harassment/Stalking,"$9,255"
21,Real Estate,"$934,428"
22,IPR/Copyright and Counterfeit,"$2,211"
23,SIM Swap,"$150,333"
24,Identity Theft,"$3,119,556"
25,Spoofing,"$533,828"
26,Investment,"$19,360,380"
27,Tech Support,"$3,047,870"
28,Lottery/Sweepstakes/Inheritance,"$712,503"
29,Threats of Violence,$0
