,Crime Type,Loss Amount
0,Advanced Fee,"$63,927"
1,Malware,$0
2,BEC,"$201,313"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$626,873"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$7,795"
9,Non-payment/Non-Delivery,"$170,433"
10,Crimes Against Children,$0
11,Other,$600
12,Data Breach,$570
13,Overpayment,"$5,431"
14,Employment,"$174,362"
15,Personal Data Breach,"$1,011"
16,Extortion,"$1,983"
17,Phishing,"$2,881"
18,Government Impersonation,"$412,483"
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,"$144,790"
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,$0
24,Identity Theft,"$1,512,070"
25,Spoofing,"$82,460"
26,Investment,"$865,923"
27,Tech Support,"$222,573"
28,Lottery/Sweepstakes/Inheritance,$600
29,Threats of Violence,$0
