,Crime Type,Loss Amount
0,Advanced Fee,"$137,959"
1,Malware,$0
2,BEC,"$5,347,402"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,223,679"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$926,362"
9,Non-payment/Non-Delivery,"$584,272"
10,Crimes Against Children,$0
11,Other,"$1,000"
12,Data Breach,$0
13,Overpayment,"$66,098"
14,Employment,"$499,181"
15,Personal Data Breach,"$263,368"
16,Extortion,"$101,769"
17,Phishing,"$5,276"
18,Government Impersonation,"$731,599"
19,Ransomware,"$3,500"
20,Harassment/Stalking,$0
21,Real Estate,"$2,326,685"
22,IPR/Copyright and Counterfeit,$59
23,SIM Swap,"$360,235"
24,Identity Theft,"$1,374,753"
25,Spoofing,"$148,882"
26,Investment,"$5,930,410"
27,Tech Support,"$4,817,340"
28,Lottery/Sweepstakes/Inheritance,"$746,633"
29,Threats of Violence,$0
