,Crime Type,Loss Amount
0,Advanced Fee,"$3,276,581"
1,Malware,"$162,292"
2,BEC,"$43,217,922"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$15,638,062"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$3,557,707"
9,Non-payment/Non-Delivery,"$4,311,689"
10,Crimes Against Children,"$3,290"
11,Other,"$1,998,807"
12,Data Breach,"$1,222,525"
13,Overpayment,"$1,268,974"
14,Employment,"$1,066,855"
15,Personal Data Breach,"$4,859,173"
16,Extortion,"$749,076"
17,Phishing,"$114,515"
18,Government Impersonation,"$1,255,294"
19,Ransomware,"$900,000"
20,Harassment/Stalking,"$3,405"
21,Real Estate,"$8,221,265"
22,IPR/Copyright and Counterfeit,"$28,119"
23,SIM Swap,"$1,461,701"
24,Identity Theft,"$10,505,562"
25,Spoofing,"$1,765,181"
26,Investment,"$98,530,071"
27,Tech Support,"$24,894,767"
28,Lottery/Sweepstakes/Inheritance,"$852,479"
29,Threats of Violence,"$8,335"
