,Crime Type,Loss Amount
0,Advanced Fee,"$343,562"
1,Malware,$0
2,BEC,"$2,531,541"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$2,204,219"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$1,271,812"
9,Non-payment/Non-Delivery,"$1,069,551"
10,Crimes Against Children,$0
11,Other,"$334,212"
12,Data Breach,"$128,591"
13,Overpayment,"$269,826"
14,Employment,"$1,220,487"
15,Personal Data Breach,"$435,761"
16,Extortion,"$176,747"
17,Phishing,"$73,983"
18,Government Impersonation,"$121,918"
19,Ransomware,$0
20,Harassment/Stalking,"$1,603"
21,Real Estate,"$1,344,991"
22,IPR/Copyright and Counterfeit,$475
23,SIM Swap,"$63,338"
24,Identity Theft,"$132,735"
25,Spoofing,"$115,846"
26,Investment,"$3,779,203"
27,Tech Support,"$1,896,420"
28,Lottery/Sweepstakes/Inheritance,"$80,040"
29,Threats of Violence,$0
