,Crime Type,Victim Count
0,Advanced Fee,159
1,Malware,9
2,BEC,331
3,NCDF,1
4,Botnet,7
5,NTOC,0
6,Confidence/Romance,297
7,No Lead Value,557
8,Credit Card/Check Fraud,242
9,Non-payment/Non-Delivery,711
10,Crimes Against Children,42
11,Other,124
12,Data Breach,29
13,Overpayment,98
14,Employment,156
15,Personal Data Breach,704
16,Extortion,673
17,Phishing,227
18,Government Impersonation,185
19,Ransomware,42
20,Harassment/Stalking,128
21,Real Estate,102
22,IPR/Copyright and Counterfeit,22
23,SIM Swap,20
24,Identity Theft,257
25,Spoofing,300
26,Investment,241
27,Tech Support,570
28,Lottery/Sweepstakes/Inheritance,56
29,Threats of Violence,23
