,Crime Type,Loss Amount
0,Advanced Fee,"$2,017,723"
1,Malware,"$15,052"
2,BEC,"$24,935,817"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$8,563,587"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$1,652,666"
9,Non-payment/Non-Delivery,"$2,644,370"
10,Crimes Against Children,"$4,071"
11,Other,"$1,757,292"
12,Data Breach,"$725,882"
13,Overpayment,"$401,203"
14,Employment,"$424,304"
15,Personal Data Breach,"$10,643,552"
16,Extortion,"$534,908"
17,Phishing,"$285,766"
18,Government Impersonation,"$3,139,343"
19,Ransomware,"$70,680"
20,Harassment/Stalking,"$53,673"
21,Real Estate,"$4,059,880"
22,IPR/Copyright and Counterfeit,"$394,103"
23,SIM Swap,"$1,928,486"
24,Identity Theft,"$1,557,780"
25,Spoofing,"$1,435,786"
26,Investment,"$30,416,953"
27,Tech Support,"$10,034,838"
28,Lottery/Sweepstakes/Inheritance,"$1,421,209"
29,Threats of Violence,"$5,860"
