,Crime Type,Loss Amount
0,Advanced Fee,"$96,564"
1,Malware,$0
2,BEC,"$1,100,933"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,680,160"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$392,592"
9,Non-payment/Non-Delivery,"$274,212"
10,Crimes Against Children,$0
11,Other,"$150,200"
12,Data Breach,$0
13,Overpayment,"$247,250"
14,Employment,"$28,025"
15,Personal Data Breach,"$146,693"
16,Extortion,"$179,450"
17,Phishing,"$10,969"
18,Government Impersonation,"$392,620"
19,Ransomware,$0
20,Harassment/Stalking,"$2,000"
21,Real Estate,"$380,268"
22,IPR/Copyright and Counterfeit,"$1,034"
23,SIM Swap,$0
24,Identity Theft,"$22,292"
25,Spoofing,"$27,049"
26,Investment,"$701,805"
27,Tech Support,"$668,704"
28,Lottery/Sweepstakes/Inheritance,"$345,300"
29,Threats of Violence,$0
