,Crime Type,Victim Count
0,Advanced Fee,69
1,Malware,2
2,BEC,90
3,NCDF,0
4,Botnet,1
5,NTOC,0
6,Confidence/Romance,90
7,No Lead Value,215
8,Credit Card/Check Fraud,105
9,Non-payment/Non-Delivery,268
10,Crimes Against Children,8
11,Other,36
12,Data Breach,13
13,Overpayment,29
14,Employment,87
15,Personal Data Breach,309
16,Extortion,199
17,Phishing,60
18,Government Impersonation,48
19,Ransomware,13
20,Harassment/Stalking,54
21,Real Estate,33
22,IPR/Copyright and Counterfeit,8
23,SIM Swap,7
24,Identity Theft,112
25,Spoofing,115
26,Investment,72
27,Tech Support,131
28,Lottery/Sweepstakes/Inheritance,20
29,Threats of Violence,13
