,Crime Type,Loss Amount
0,Advanced Fee,"$249,164"
1,Malware,$30
2,BEC,"$14,672,094"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,996,608"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$513,033"
9,Non-payment/Non-Delivery,"$603,368"
10,Crimes Against Children,"$1,001"
11,Other,"$214,559"
12,Data Breach,"$507,379"
13,Overpayment,"$150,577"
14,Employment,"$210,584"
15,Personal Data Breach,"$515,169"
16,Extortion,"$52,782"
17,Phishing,"$36,624"
18,Government Impersonation,"$992,301"
19,Ransomware,$0
20,Harassment/Stalking,"$2,600"
21,Real Estate,"$2,121,386"
22,IPR/Copyright and Counterfeit,"$1,355"
23,SIM Swap,"$146,418"
24,Identity Theft,"$387,790"
25,Spoofing,"$274,742"
26,Investment,"$5,369,174"
27,Tech Support,"$1,673,448"
28,Lottery/Sweepstakes/Inheritance,"$472,120"
29,Threats of Violence,$0
