,Crime Type,Loss Amount
0,Advanced Fee,"$145,492"
1,Malware,$0
2,BEC,"$719,527"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$138,395"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$59,476"
9,Non-payment/Non-Delivery,"$1,270,016"
10,Crimes Against Children,$157
11,Other,"$88,480"
12,Data Breach,$0
13,Overpayment,"$17,369"
14,Employment,"$24,232"
15,Personal Data Breach,"$5,747"
16,Extortion,"$6,720"
17,Phishing,"$13,857"
18,Government Impersonation,$0
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,"$19,018"
22,IPR/Copyright and Counterfeit,$276
23,SIM Swap,$0
24,Identity Theft,"$4,639"
25,Spoofing,"$48,074"
26,Investment,"$470,409"
27,Tech Support,"$829,937"
28,Lottery/Sweepstakes/Inheritance,"$98,750"
29,Threats of Violence,$0
