,Crime Type,Loss Amount
0,Advanced Fee,"$335,099"
1,Malware,$0
2,BEC,"$7,148,037"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$2,013,957"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$240,180"
9,Non-payment/Non-Delivery,"$496,060"
10,Crimes Against Children,"$1,157"
11,Other,"$202,900"
12,Data Breach,"$2,242"
13,Overpayment,"$33,410"
14,Employment,"$55,129"
15,Personal Data Breach,"$510,515"
16,Extortion,"$48,336"
17,Phishing,"$353,293"
18,Government Impersonation,"$47,940"
19,Ransomware,"$3,200"
20,Harassment/Stalking,"$25,702"
21,Real Estate,"$366,186"
22,IPR/Copyright and Counterfeit,$571
23,SIM Swap,$0
24,Identity Theft,"$120,605"
25,Spoofing,"$52,248"
26,Investment,"$8,695,378"
27,Tech Support,"$1,451,189"
28,Lottery/Sweepstakes/Inheritance,"$679,830"
29,Threats of Violence,$0
