,Crime Type,Loss Amount
0,Advanced Fee,"$7,410"
1,Malware,$0
2,BEC,"$626,430"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$934,459"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$351,692"
9,Non-payment/Non-Delivery,"$814,696"
10,Crimes Against Children,$0
11,Other,"$4,967"
12,Data Breach,"$58,100"
13,Overpayment,"$34,116"
14,Employment,"$56,053"
15,Personal Data Breach,"$349,145"
16,Extortion,"$7,172"
17,Phishing,"$9,043"
18,Government Impersonation,"$381,405"
19,Ransomware,$0
20,Harassment/Stalking,"$5,000"
21,Real Estate,"$294,845"
22,IPR/Copyright and Counterfeit,$230
23,SIM Swap,$0
24,Identity Theft,"$34,521"
25,Spoofing,"$13,340"
26,Investment,"$2,370,945"
27,Tech Support,"$1,453,310"
28,Lottery/Sweepstakes/Inheritance,"$133,095"
29,Threats of Violence,$0
