,Crime Type,Loss Amount
0,Advanced Fee,"$253,517"
1,Malware,$0
2,BEC,"$5,359,750"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$3,044,813"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$725,238"
9,Non-payment/Non-Delivery,"$966,550"
10,Crimes Against Children,"$39,385"
11,Other,"$13,087"
12,Data Breach,"$407,639"
13,Overpayment,"$181,716"
14,Employment,"$100,838"
15,Personal Data Breach,"$932,393"
16,Extortion,"$238,464"
17,Phishing,"$176,417"
18,Government Impersonation,"$1,139,495"
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,"$509,926"
22,IPR/Copyright and Counterfeit,"$5,230"
23,SIM Swap,"$52,432"
24,Identity Theft,"$241,280"
25,Spoofing,"$647,191"
26,Investment,"$12,758,063"
27,Tech Support,"$1,676,802"
28,Lottery/Sweepstakes/Inheritance,"$382,600"
29,Threats of Violence,$0
