,Crime Type,Subject Count
0,Advanced Fee,78
1,Malware,2
2,BEC,59
3,NCDF,0
4,Botnet,5
5,NTOC,0
6,Confidence/Romance,111
7,No Lead Value,254
8,Credit Card/Check Fraud,248
9,Non-payment/Non-Delivery,390
10,Crimes Against Children,8
11,Other,74
12,Data Breach,13
13,Overpayment,29
14,Employment,62
15,Personal Data Breach,363
16,Extortion,121
17,Phishing,73
18,Government Impersonation,28
19,Ransomware,2
20,Harassment/Stalking,198
21,Real Estate,120
22,IPR/Copyright and Counterfeit,12
23,SIM Swap,8
24,Identity Theft,265
25,Spoofing,76
26,Investment,110
27,Tech Support,141
28,Lottery/Sweepstakes/Inheritance,58
29,Threats of Violence,32
