,Crime Type,Loss Amount
0,Advanced Fee,"$2,768,501"
1,Malware,"$89,695"
2,BEC,"$27,786,876"
3,NCDF,$0
4,Botnet,"$157,663"
5,NTOC,$0
6,Confidence/Romance,"$7,520,823"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$4,477,078"
9,Non-payment/Non-Delivery,"$4,914,222"
10,Crimes Against Children,"$2,998"
11,Other,"$1,537,815"
12,Data Breach,"$809,906"
13,Overpayment,"$482,247"
14,Employment,"$388,455"
15,Personal Data Breach,"$10,021,961"
16,Extortion,"$303,935"
17,Phishing,"$1,178,309"
18,Government Impersonation,"$839,642"
19,Ransomware,"$800,000"
20,Harassment/Stalking,"$70,738"
21,Real Estate,"$2,393,009"
22,IPR/Copyright and Counterfeit,"$234,309"
23,SIM Swap,"$1,355,515"
24,Identity Theft,"$12,961,298"
25,Spoofing,"$631,859"
26,Investment,"$40,890,597"
27,Tech Support,"$10,823,092"
28,Lottery/Sweepstakes/Inheritance,"$1,171,092"
29,Threats of Violence,"$3,000"
