,Crime Type,Loss Amount
0,Advanced Fee,"$182,773"
1,Malware,$0
2,BEC,"$3,591,608"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$554,532"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$63,102"
9,Non-payment/Non-Delivery,"$412,146"
10,Crimes Against Children,$0
11,Other,$0
12,Data Breach,$0
13,Overpayment,"$9,964"
14,Employment,"$39,548"
15,Personal Data Breach,"$8,041"
16,Extortion,"$4,120"
17,Phishing,$0
18,Government Impersonation,"$67,300"
19,Ransomware,$0
20,Harassment/Stalking,$40
21,Real Estate,"$401,945"
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,$0
24,Identity Theft,"$80,131"
25,Spoofing,"$67,011"
26,Investment,"$279,051"
27,Tech Support,"$601,429"
28,Lottery/Sweepstakes/Inheritance,"$259,150"
29,Threats of Violence,$0
