,Crime Type,Loss Amount
0,Advanced Fee,"$280,286"
1,Malware,$0
2,BEC,"$2,593,546"
3,NCDF,$0
4,Botnet,"$50,000"
5,NTOC,$0
6,Confidence/Romance,"$2,390,506"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$1,341,636"
9,Non-payment/Non-Delivery,"$988,054"
10,Crimes Against Children,"$1,075"
11,Other,"$341,213"
12,Data Breach,"$130,792"
13,Overpayment,"$216,771"
14,Employment,"$109,878"
15,Personal Data Breach,"$658,499"
16,Extortion,"$138,186"
17,Phishing,"$659,457"
18,Government Impersonation,"$431,492"
19,Ransomware,$510
20,Harassment/Stalking,$0
21,Real Estate,"$762,392"
22,IPR/Copyright and Counterfeit,$448
23,SIM Swap,"$283,834"
24,Identity Theft,"$331,522"
25,Spoofing,"$980,752"
26,Investment,"$14,311,268"
27,Tech Support,"$4,536,293"
28,Lottery/Sweepstakes/Inheritance,"$40,737"
29,Threats of Violence,$3
