,Crime Type,Loss Amount
0,Advanced Fee,"$1,808,343"
1,Malware,$0
2,BEC,"$7,833,526"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$11,831,683"
7,No Lead Value,"$12,800"
8,Credit Card/Check Fraud,"$2,638,109"
9,Non-payment/Non-Delivery,"$3,332,198"
10,Crimes Against Children,"$55,500"
11,Other,"$4,984,619"
12,Data Breach,"$203,305"
13,Overpayment,"$179,702"
14,Employment,"$365,154"
15,Personal Data Breach,"$2,219,991"
16,Extortion,"$154,390"
17,Phishing,"$1,330,224"
18,Government Impersonation,"$910,197"
19,Ransomware,$0
20,Harassment/Stalking,"$30,054"
21,Real Estate,"$3,282,739"
22,IPR/Copyright and Counterfeit,"$35,484"
23,SIM Swap,"$141,846"
24,Identity Theft,"$869,220"
25,Spoofing,"$1,481,708"
26,Investment,"$24,624,104"
27,Tech Support,"$4,337,864"
28,Lottery/Sweepstakes/Inheritance,"$1,121,750"
29,Threats of Violence,$325
