,Crime Type,Loss Amount
0,Advanced Fee,"$1,660,078"
1,Malware,"$305,000"
2,BEC,"$62,949,746"
3,NCDF,$0
4,Botnet,$0
5,NTOC,"$12,000"
6,Confidence/Romance,"$14,252,783"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$4,432,029"
9,Non-payment/Non-Delivery,"$8,913,974"
10,Crimes Against Children,"$214,812"
11,Other,"$3,798,296"
12,Data Breach,"$7,347,582"
13,Overpayment,"$978,896"
14,Employment,"$1,126,971"
15,Personal Data Breach,"$15,293,045"
16,Extortion,"$1,815,590"
17,Phishing,"$2,852,334"
18,Government Impersonation,"$11,125,689"
19,Ransomware,"$3,681,954"
20,Harassment/Stalking,"$32,486"
21,Real Estate,"$6,941,205"
22,IPR/Copyright and Counterfeit,"$68,775"
23,SIM Swap,"$2,676,631"
24,Identity Theft,"$3,598,079"
25,Spoofing,"$5,007,723"
26,Investment,"$110,174,613"
27,Tech Support,"$31,653,397"
28,Lottery/Sweepstakes/Inheritance,"$1,187,695"
29,Threats of Violence,"$1,006"
