,Crime Type,Loss Amount
0,Advanced Fee,"$132,682"
1,Malware,"$1,000"
2,BEC,"$2,690,261"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$261,212"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$183,040"
9,Non-payment/Non-Delivery,"$1,419,522"
10,Crimes Against Children,"$11,023"
11,Other,"$312,097"
12,Data Breach,$0
13,Overpayment,"$40,044"
14,Employment,"$10,040"
15,Personal Data Breach,"$467,662"
16,Extortion,"$10,037"
17,Phishing,"$1,050"
18,Government Impersonation,"$17,500"
19,Ransomware,$0
20,Harassment/Stalking,"$21,623"
21,Real Estate,"$139,942"
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,$0
24,Identity Theft,"$20,703"
25,Spoofing,"$148,004"
26,Investment,"$291,281"
27,Tech Support,"$382,610"
28,Lottery/Sweepstakes/Inheritance,"$44,540"
29,Threats of Violence,$0
