,Crime Type,Loss Amount
0,Advanced Fee,"$509,422"
1,Malware,"$1,000"
2,BEC,"$6,881,044"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$7,296,076"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$727,450"
9,Non-payment/Non-Delivery,"$2,589,712"
10,Crimes Against Children,"$12,653"
11,Other,"$316,069"
12,Data Breach,"$1,182,817"
13,Overpayment,"$136,625"
14,Employment,"$78,352"
15,Personal Data Breach,"$2,178,327"
16,Extortion,"$103,490"
17,Phishing,"$58,737"
18,Government Impersonation,"$942,093"
19,Ransomware,$0
20,Harassment/Stalking,"$21,791"
21,Real Estate,"$1,547,084"
22,IPR/Copyright and Counterfeit,"$2,502"
23,SIM Swap,"$139,624"
24,Identity Theft,"$180,203"
25,Spoofing,"$384,610"
26,Investment,"$4,032,420"
27,Tech Support,"$3,999,918"
28,Lottery/Sweepstakes/Inheritance,"$1,303,585"
29,Threats of Violence,$0
