,Crime Type,Loss Amount
0,Advanced Fee,"$5,210,400"
1,Malware,"$810,379"
2,BEC,"$216,192,152"
3,NCDF,$46
4,Botnet,"$13,581"
5,NTOC,$0
6,Confidence/Romance,"$33,512,595"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$48,242,331"
9,Non-payment/Non-Delivery,"$14,533,374"
10,Crimes Against Children,"$70,472"
11,Other,"$4,959,028"
12,Data Breach,"$64,983,059"
13,Overpayment,"$3,160,983"
14,Employment,"$2,284,922"
15,Personal Data Breach,"$82,213,587"
16,Extortion,"$6,323,783"
17,Phishing,"$3,428,351"
18,Government Impersonation,"$50,581,474"
19,Ransomware,"$592,270"
20,Harassment/Stalking,"$35,422"
21,Real Estate,"$31,064,109"
22,IPR/Copyright and Counterfeit,"$153,012"
23,SIM Swap,"$11,644,485"
24,Identity Theft,"$12,584,925"
25,Spoofing,"$5,059,853"
26,Investment,"$173,465,521"
27,Tech Support,"$57,424,227"
28,Lottery/Sweepstakes/Inheritance,"$3,098,270"
29,Threats of Violence,"$795,233"
