,Crime Type,Loss Amount
0,Advanced Fee,"$395,815"
1,Malware,"$48,786"
2,BEC,"$18,000,193"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$6,831,462"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$2,956,240"
9,Non-payment/Non-Delivery,"$3,314,708"
10,Crimes Against Children,$30
11,Other,"$1,112,230"
12,Data Breach,"$876,546"
13,Overpayment,"$243,272"
14,Employment,"$347,117"
15,Personal Data Breach,"$1,303,024"
16,Extortion,"$148,003"
17,Phishing,"$132,813"
18,Government Impersonation,"$206,557"
19,Ransomware,$0
20,Harassment/Stalking,"$6,374"
21,Real Estate,"$6,537,295"
22,IPR/Copyright and Counterfeit,"$1,066"
23,SIM Swap,"$42,456"
24,Identity Theft,"$552,799"
25,Spoofing,"$91,563"
26,Investment,"$17,548,016"
27,Tech Support,"$4,211,405"
28,Lottery/Sweepstakes/Inheritance,"$930,514"
29,Threats of Violence,$557
