,Crime Type,Subject Count
0,Advanced Fee,5
1,Malware,1
2,BEC,5
3,NCDF,0
4,Botnet,1
5,NTOC,0
6,Confidence/Romance,13
7,No Lead Value,11
8,Credit Card/Check Fraud,7
9,Non-payment/Non-Delivery,77
10,Crimes Against Children,3
11,Other,3
12,Data Breach,2
13,Overpayment,2
14,Employment,4
15,Personal Data Breach,26
16,Extortion,10
17,Phishing,4
18,Government Impersonation,3
19,Ransomware,0
20,Harassment/Stalking,6
21,Real Estate,1
22,IPR/Copyright and Counterfeit,2
23,SIM Swap,1
24,Identity Theft,6
25,Spoofing,9
26,Investment,3
27,Tech Support,25
28,Lottery/Sweepstakes/Inheritance,0
29,Threats of Violence,3
