,Crime Type,Loss Amount
0,Advanced Fee,"$220,412"
1,Malware,$0
2,BEC,"$725,253"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$524,000"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$6,268"
9,Non-payment/Non-Delivery,"$941,653"
10,Crimes Against Children,$0
11,Other,$0
12,Data Breach,"$700,000"
13,Overpayment,"$3,055"
14,Employment,"$15,931"
15,Personal Data Breach,"$13,392"
16,Extortion,$996
17,Phishing,$640
18,Government Impersonation,"$335,000"
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,"$1,140"
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,$0
24,Identity Theft,"$3,698"
25,Spoofing,"$15,520"
26,Investment,"$30,600"
27,Tech Support,"$349,269"
28,Lottery/Sweepstakes/Inheritance,$0
29,Threats of Violence,"$1,400"
