,Crime Type,Victim Count
0,Advanced Fee,27
1,Malware,0
2,BEC,40
3,NCDF,0
4,Botnet,0
5,NTOC,0
6,Confidence/Romance,38
7,No Lead Value,75
8,Credit Card/Check Fraud,24
9,Non-payment/Non-Delivery,82
10,Crimes Against Children,5
11,Other,12
12,Data Breach,6
13,Overpayment,16
14,Employment,20
15,Personal Data Breach,84
16,Extortion,79
17,Phishing,23
18,Government Impersonation,28
19,Ransomware,5
20,Harassment/Stalking,15
21,Real Estate,5
22,IPR/Copyright and Counterfeit,4
23,SIM Swap,6
24,Identity Theft,19
25,Spoofing,35
26,Investment,23
27,Tech Support,72
28,Lottery/Sweepstakes/Inheritance,11
29,Threats of Violence,5
