,Crime Type,Loss Amount
0,Advanced Fee,"$1,212"
1,Malware,$0
2,BEC,"$45,207"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,212"
7,No Lead Value,$0
8,Credit Card/Check Fraud,$500
9,Non-payment/Non-Delivery,"$41,066"
10,Crimes Against Children,$0
11,Other,$0
12,Data Breach,$0
13,Overpayment,$0
14,Employment,"$14,100"
15,Personal Data Breach,"$1,225"
16,Extortion,$0
17,Phishing,$0
18,Government Impersonation,"$37,500"
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,$0
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,$0
24,Identity Theft,$0
25,Spoofing,"$1,240"
26,Investment,"$1,810,915"
27,Tech Support,$0
28,Lottery/Sweepstakes/Inheritance,$0
29,Threats of Violence,$0
