,Crime Type,Loss Amount
0,Advanced Fee,"$1,643,080"
1,Malware,"$2,439"
2,BEC,"$55,234,618"
3,NCDF,$50
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$20,459,867"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$3,805,666"
9,Non-payment/Non-Delivery,"$7,291,603"
10,Crimes Against Children,"$2,379"
11,Other,"$5,914,958"
12,Data Breach,"$1,095,323"
13,Overpayment,"$563,889"
14,Employment,"$496,949"
15,Personal Data Breach,"$10,682,260"
16,Extortion,"$1,374,490"
17,Phishing,"$689,640"
18,Government Impersonation,"$4,151,319"
19,Ransomware,"$1,354,512"
20,Harassment/Stalking,"$35,869"
21,Real Estate,"$6,670,326"
22,IPR/Copyright and Counterfeit,"$45,285"
23,SIM Swap,"$1,203,493"
24,Identity Theft,"$4,435,120"
25,Spoofing,"$2,010,074"
26,Investment,"$50,498,204"
27,Tech Support,"$11,444,667"
28,Lottery/Sweepstakes/Inheritance,"$2,093,510"
29,Threats of Violence,"$1,193"
