,Crime Type,Loss Amount
0,Advanced Fee,"$457,973"
1,Malware,$0
2,BEC,"$2,747,981"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$2,988,808"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$783,779"
9,Non-payment/Non-Delivery,"$12,476,804"
10,Crimes Against Children,$0
11,Other,"$727,357"
12,Data Breach,"$9,840"
13,Overpayment,"$75,521"
14,Employment,"$203,215"
15,Personal Data Breach,"$338,084"
16,Extortion,"$74,466"
17,Phishing,"$18,538"
18,Government Impersonation,"$341,627"
19,Ransomware,$0
20,Harassment/Stalking,"$16,030"
21,Real Estate,"$124,545"
22,IPR/Copyright and Counterfeit,"$18,692"
23,SIM Swap,"$59,238"
24,Identity Theft,"$343,585"
25,Spoofing,"$36,847"
26,Investment,"$3,739,360"
27,Tech Support,"$1,071,566"
28,Lottery/Sweepstakes/Inheritance,"$613,429"
29,Threats of Violence,$0
