,Crime Type,Loss Amount
0,Advanced Fee,"$895,024"
1,Malware,"$82,720"
2,BEC,"$30,108,808"
3,NCDF,$0
4,Botnet,$104
5,NTOC,$0
6,Confidence/Romance,"$6,783,496"
7,No Lead Value,"$12,800"
8,Credit Card/Check Fraud,"$2,717,603"
9,Non-payment/Non-Delivery,"$2,994,708"
10,Crimes Against Children,"$1,400"
11,Other,"$575,633"
12,Data Breach,"$161,373"
13,Overpayment,"$529,645"
14,Employment,"$485,855"
15,Personal Data Breach,"$3,965,005"
16,Extortion,"$895,757"
17,Phishing,"$220,553"
18,Government Impersonation,"$5,655,830"
19,Ransomware,"$17,600"
20,Harassment/Stalking,"$12,886"
21,Real Estate,"$2,309,133"
22,IPR/Copyright and Counterfeit,"$5,254"
23,SIM Swap,"$160,871"
24,Identity Theft,"$915,210"
25,Spoofing,"$1,552,404"
26,Investment,"$41,583,266"
27,Tech Support,"$10,168,229"
28,Lottery/Sweepstakes/Inheritance,"$1,474,065"
29,Threats of Violence,$0
