,Crime Type,Victim Count
0,Advanced Fee,360
1,Malware,28
2,BEC,709
3,NCDF,0
4,Botnet,17
5,NTOC,0
6,Confidence/Romance,602
7,No Lead Value,"2,118"
8,Credit Card/Check Fraud,854
9,Non-payment/Non-Delivery,"1,680"
10,Crimes Against Children,73
11,Other,233
12,Data Breach,68
13,Overpayment,211
14,Employment,471
15,Personal Data Breach,"1,767"
16,Extortion,"1,356"
17,Phishing,506
18,Government Impersonation,507
19,Ransomware,90
20,Harassment/Stalking,330
21,Real Estate,308
22,IPR/Copyright and Counterfeit,61
23,SIM Swap,54
24,Identity Theft,960
25,Spoofing,612
26,Investment,609
27,Tech Support,"1,178"
28,Lottery/Sweepstakes/Inheritance,134
29,Threats of Violence,53
