,Crime Type,Loss Amount
0,Advanced Fee,"$2,275,455"
1,Malware,"$165,889"
2,BEC,"$92,550,017"
3,NCDF,$0
4,Botnet,"$14,438"
5,NTOC,$0
6,Confidence/Romance,"$14,405,614"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$6,427,321"
9,Non-payment/Non-Delivery,"$6,052,842"
10,Crimes Against Children,"$1,312"
11,Other,"$2,190,588"
12,Data Breach,"$3,192,907"
13,Overpayment,"$1,263,150"
14,Employment,"$555,478"
15,Personal Data Breach,"$12,973,871"
16,Extortion,"$2,612,043"
17,Phishing,"$753,847"
18,Government Impersonation,"$10,627,992"
19,Ransomware,"$2,014,552"
20,Harassment/Stalking,"$34,107"
21,Real Estate,"$7,973,567"
22,IPR/Copyright and Counterfeit,"$30,654"
23,SIM Swap,"$2,708,013"
24,Identity Theft,"$2,902,616"
25,Spoofing,"$1,952,106"
26,Investment,"$65,396,772"
27,Tech Support,"$24,975,280"
28,Lottery/Sweepstakes/Inheritance,"$2,163,110"
29,Threats of Violence,"$33,460"
